"date","site","date_obs","heure_obs","fraction","nom_sci","abondance","largeur_riviere","profondeur_riviere","vitesse_courant","transparence_eau","temperature_eau_c","ETIQSTATION","RIVIERE_TOPO","NIVEAU","CRG_ROC","CRG_SOL","CRG_HER","CRD_ROC","CRD_SOL","CRD_HER","ESUB_ALG","ESUB_MOU","ESUB_AUT","TEMP","1_SUBSTRAT_ABRI","2_SABLE_VASE","3_VELOCITE","4_SEDIMENT","REMARQUE"
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Baetidae",1,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Acerpenna",1,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Ephemerellidae",1,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Ephemerella",4,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Eurylophella",6,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Heptageniidae",1,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Leptophlebiidae",3,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Micrasema",2,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Ceratopsyche",1,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-09-03","142_120_R01","2021-09-03","13:00:00",0.0416666666666667,"Hydroptila",3,0.8,0.05,NA,"moyenne",12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
